DATE,PAGE,TITLE,AUTHOR,POSITION,TRANSLATOR,GENDER,KORRUSNOM,GENRELIT,THEME,NATIONALITY,ORILANGUAGE,bigo
1938-05-15,1,[head]선거에 대한 준비사업은 시작되었다,,,,,,,,,,
1938-05-15,1,카사크 쎄쎄르 선거 오쿠루그들,,,,,,,,,,
1938-05-15,1,카사크 쎄쎄르 최고 쏘베트 선거일에 대하여,,,,,,,,,,
1938-05-15,1,[caption]레닌얼굴과 스탈린 그림자,,,,,,,,,,
1938-05-15,2,씨르-다리야 선거 오크루그,,,,,,,,,,
1938-05-15,2,카사크 쎄쎄르 최고쏘베트 선거에 대한 중앙꼬미씨야 성원에 대하여,,,,,,,,,,
1938-05-15,2,카사크 쎄쎄르 최고 쏘베트 선거규정,,,,,,,,,,
1938-05-15,3,꼴호즈원들을 꼴호즈로 불어 출회시기는 일을 금지함에 대하여,,,,,,,,,,
1938-05-15,3,오고로드니크 꼴호즈의 형편,리용재,,,M,K,,,,,
1938-05-15,3,씨르-다리야 구역 당꼰페렌치야,,,,,,,,,,
1938-05-15,3,결산-선거회의는 숨어있던 불족점들을 폭로하엿다,황동훈,,,M,K,,,,,
1938-05-15,4,쎄쎄쎄르 인민위원소베트와 전동맹공산당(볼세위크)중앙 위원회에서 콜호즈로 붙어 출회당한자들의 고소 처리에 대하여,,,,,,,,,,
1938-05-15,4,통신적 보도,,,,,,,,,,
1938-05-15,4,둘재 오년게획 공채의 제칠차 취첨,,,,,,,,,,
1938-05-15,4,꼴호즈원들을 꼴호즈로 불어 출회시기는 일을 금지함에 대하여,,,,,,,,,,
1938-05-15,4,쏘베트-일본 관계에 대하여,TASS,,,,,,,,,
1938-05-15,4,일본군대의 손실,TASS,,,,,,,,,
1938-05-15,4,이딸리아 군대의 손실,TASS,,,,,,,,,
1938-05-15,4,중국 빨찌산들은 북평을 포위,TASS,,,,,,,,,
1938-05-15,4,독자들에게 -창간사의 대신에-,editorial,,,,,,,,,
1938-05-15,4,신문대금/본사번지,,,,,,,,,,
1938-05-18,1,"[head]이.브 쓰딸린, 브.므. 몰로또브 동무는 그루지야 쎄쎄르 최고쏘베트 대의원 투표를 받기로 승락하엿다",,,,,,,,,,
1938-05-18,1,카사크 쎄쎄르 최고 쏘베트 선거규정,,,,,,,,,,
1938-05-18,2,카사크 쎄쎄르 최고 쏘베트 선거규정,,,,,,,,,,
1938-05-18,3,카사크 쎄쎄르 최고 쏘베트 선거규정,,,,,,,,,,
1938-05-18,3,카사크 인민의 아큰 잠불,김증손,,,M,K,,,,,
1938-05-18,4,카사크 쎄쎄르 최고 쏘베트 선거규정,,,,,,,,,,
1938-05-18,4,사범대학의 학생 과학일군 및 행정-긔술 일군들의 군중대회,,,,,,,,,,
1938-05-18,4,선거에 대한 준비사업이 없는 벽돌공장,,,,,,,,,,
1938-05-18,4,국제련맹 리사회 제101차 쎄씨야가 열리엇다,TASS,,,,,,,,,
1938-05-18,4,중국 전선에서,TASS,,,,,,,,,
